Index,Time,Period (AM/PM),Credit hours,Days,Final Exam
2,8:00,AM,2,TR,"Wednesday, December 14, 7:30 - 9:30 am"
3,8:00,AM,2,MW,"Thursday, December 15, 7:30 - 9:30 am"
4,8:00,AM,2,WF,"Thursday, December 15, 7:30 - 9:30 am"
5,8:00,AM,2,MWF,"Thursday, December 15, 7:30 - 9:30 am"
6,8:00,AM,3,TR,"Wednesday, December 14, 7:30 - 9:30 am"
7,8:00,AM,4,TR,"Wednesday, December 14, 7:30 - 9:30 am"
8,8:00,AM,4,MW,"Wednesday, December 14, 7:30 - 9:30 am"
9,8:00,AM,4,WF,"Wednesday, December 14, 7:30 - 9:30 am"
10,8:00,AM,4,MWF,"Wednesday, December 14, 7:30 - 9:30 am"
11,8:00,AM,3,MWF,"Thursday, December 15, 7:30 - 9:30 am"
12,8:00,AM,5,TR,"Thursday, December 15, 7:30 - 9:30 am"
13,8:00,AM,5,MW,"Thursday, December 15, 7:30 - 9:30 am"
14,8:00,AM,5,WF,"Thursday, December 15, 7:30 - 9:30 am"
15,8:00,AM,5,MWF,"Thursday, December 15, 7:30 - 9:30 am"
16,9:00,AM,2,TR,"Friday, December 16, 7:30 - 9:30 am"
17,9:00,AM,2,MW,"Friday, December 16, 7:30 - 9:30 am"
18,9:00,AM,2,WF,"Friday, December 16, 7:30 - 9:30 am"
19,9:00,AM,2,MWF,"Friday, December 16, 7:30 - 9:30 am"
20,9:00,AM,3,MWF,"Friday, December 16, 7:30 - 9:30 am"
21,9:00,AM,4,TR,"Friday, December 16, 7:30 - 9:30 am"
22,9:00,AM,4,MW,"Friday, December 16, 7:30 - 9:30 am"
23,9:00,AM,4,WF,"Friday, December 16, 7:30 - 9:30 am"
24,9:00,AM,4,MWF,"Friday, December 16, 7:30 - 9:30 am"
25,9:30,AM,2,TR,"Friday, December 16, 9:45 - 11:45 am"
26,9:30,AM,2,MW,"Friday, December 16, 9:45 - 11:45 am"
27,9:30,AM,2,WF,"Friday, December 16, 9:45 - 11:45 am"
28,9:30,AM,2,MWF,"Friday, December 16, 9:45 - 11:45 am"
29,9:30,AM,3,TR,"Friday, December 16, 9:45 - 11:45 am"
30,9:30,AM,4,TR,"Friday, December 16, 9:45 - 11:45 am"
31,9:30,AM,4,MW,"Friday, December 16, 9:45 - 11:45 am"
